requestID,eventTime,eventName,eventSource,sourceIPAddress,awsRegion,userIdentity,userAgent,errorCode,failedLoginAttempts,apiCallFrequency,geoAnomaly,rootAccountUsage,offHoursAccess,mfaDisabled,errorFlag,sensitiveAPICall,label
req-00020a-3024,2024-01-11T11:44:41Z,ConsoleLogin,signin.amazonaws.com,34.224.10.5,us-east-1,devops,console.aws.amazon.com,,1,12,0,0,0,0,0,0,NORMAL
req-0002e2-6553,2024-01-15T03:19:36Z,CreateAccessKey,iam.amazonaws.com,203.0.113.99,cn-north-1,svc-lambda,console.aws.amazon.com,,0,78,1,0,1,0,0,0,SUSPICIOUS
req-0002e5-7598,2024-01-07T15:28:04Z,GetSecretValue,secretsmanager.amazonaws.com,198.51.100.77,us-east-1,iam-readonly,Go-http-client/1.1,,2,87,1,0,0,0,0,1,SUSPICIOUS
req-000295-5965,2024-01-15T14:02:02Z,GetObject,s3.amazonaws.com,172.31.0.10,eu-west-2,iam-readonly,aws-cli/2.13.0,,1,9,0,0,0,0,0,0,NORMAL
req-00019c-5767,2024-01-13T12:14:57Z,ListBuckets,s3.amazonaws.com,34.224.10.5,eu-west-2,iam-readonly,AWS Internal,,4,12,0,0,0,0,0,0,NORMAL
req-0002a7-4865,2024-01-27T12:37:47Z,DescribeInstances,ec2.amazonaws.com,172.31.0.10,ap-south-1,iam-readonly,Boto3/1.28.0,,3,13,0,0,0,0,0,0,NORMAL
req-000273-8243,2024-01-25T11:36:42Z,GetObject,s3.amazonaws.com,34.224.10.5,ap-northeast-1,svc-billing,Terraform/1.5.0,,1,13,0,0,0,0,0,0,NORMAL
req-000202-8680,2024-01-23T08:49:30Z,ListBuckets,s3.amazonaws.com,10.0.1.20,us-east-1,admin,Terraform/1.5.0,,1,9,0,0,0,0,0,0,NORMAL
req-00035c-8289,2024-01-02T09:33:57Z,RunInstances,ec2.amazonaws.com,185.220.101.47,cn-north-1,admin,curl/7.88.1,InvalidClientTokenId,2,88,1,0,0,0,1,0,SUSPICIOUS
req-000089-3463,2024-01-22T15:24:18Z,AssumeRole,sts.amazonaws.com,10.0.0.1,eu-west-2,svc-billing,console.aws.amazon.com,,2,12,0,0,0,0,0,0,NORMAL
req-00032c-7376,2024-01-06T10:00:25Z,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,192.0.2.45,cn-north-1,admin,python-requests/2.31,,2,21,1,0,0,0,0,0,SUSPICIOUS
req-00004d-1659,2024-01-25T07:43:52Z,ConsoleLogin,signin.amazonaws.com,192.168.1.100,ca-central-1,api-user,console.aws.amazon.com,,2,10,0,0,0,0,0,0,NORMAL
